title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3FTID4TN8KXXBXV5BY7X74VFX8KYLE,apple,edge,fresh,guaranteed,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3FTID4TN8KXXBXV5BY7X74VFX8KYLE,apple,edge,liquid,impossible,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3FTID4TN8KXXBXV5BY7X74VFX8KYLE,apple,edge,green,probably,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3FTID4TN8KXXBXV5BY7X74VFX8KYLE,apple,edge,shiny,probably,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3FTID4TN8KXXBXV5BY7X74VFX8KYLE,apple,edge,golden,probably,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3FTID4TN8KXXBXV5BY7X74VFX8KYLE,apple,edge,rotten,probably,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,probably,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3WGZLY9VCGLZYFGVLDBFPEZ8VKG8DV,cake,star,sweet,guaranteed,A25UZQENK9A4PL,probably,A23OWTM4N480J,probably,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3WGZLY9VCGLZYFGVLDBFPEZ8VKG8DV,cake,star,national,unrelated,A25UZQENK9A4PL,unrelated,A23OWTM4N480J,probably,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3ABAOCJ4R7388DM4K0RIUV72Y4TQM5,skateboard,bottom,green,probably,A25UZQENK9A4PL,probably,A30NX5HEQGGFPP,unrelated,A1VNV1899K7L05
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3ABAOCJ4R7388DM4K0RIUV72Y4TQM5,skateboard,bottom,old,guaranteed,A25UZQENK9A4PL,guaranteed,A30NX5HEQGGFPP,guaranteed,A1VNV1899K7L05
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3ABAOCJ4R7388DM4K0RIUV72Y4TQM5,skateboard,bottom,wooden,guaranteed,A25UZQENK9A4PL,guaranteed,A30NX5HEQGGFPP,guaranteed,A1VNV1899K7L05
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,33QQ60S6ARH3XSMEC4OP6ZXEYMYU03,stand,drawer,wooden,probably,A1VNV1899K7L05,probably,A30NX5HEQGGFPP,probably,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,33QQ60S6ARH3XSMEC4OP6ZXEYMYU03,stand,drawer,old,probably,A1VNV1899K7L05,probably,A30NX5HEQGGFPP,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,33QQ60S6ARH3XSMEC4OP6ZXEYMYU03,stand,drawer,strong,unrelated,A1VNV1899K7L05,probably,A30NX5HEQGGFPP,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,35O6H0UNLRFTEJXLXBQNGSKUYEC5J4,skater,hair,professional,probably,A25UZQENK9A4PL,unrelated,A26GE78G0GIQJC,impossible,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,35O6H0UNLRFTEJXLXBQNGSKUYEC5J4,skater,hair,young,guaranteed,A25UZQENK9A4PL,guaranteed,A26GE78G0GIQJC,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,35O6H0UNLRFTEJXLXBQNGSKUYEC5J4,skater,hair,brown,unrelated,A25UZQENK9A4PL,unrelated,A26GE78G0GIQJC,unrelated,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,35O6H0UNLRFTEJXLXBQNGSKUYEC5J4,skater,hair,excellent,pjj-nonsense,A25UZQENK9A4PL,unrelated,A26GE78G0GIQJC,unrelated,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3Y3N5A7N4F8HHFDQBA8C7HA4XDAYMG,groom,ear,handsome,unrelated,A1A3CN8H5HXTSN,unrelated,A1VNV1899K7L05,guaranteed,A1I4ATPNZBOA16
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3Y3N5A7N4F8HHFDQBA8C7HA4XDAYMG,groom,ear,happy,impossible,A1A3CN8H5HXTSN,impossible,A1VNV1899K7L05,pjj-nonsense,A1I4ATPNZBOA16
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3Y3N5A7N4F8HHFDQBA8C7HA4XDAYMG,groom,ear,english,guaranteed,A1A3CN8H5HXTSN,impossible,A1VNV1899K7L05,guaranteed,A1I4ATPNZBOA16
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3Y3N5A7N4F8HHFDQBA8C7HA4XDAYMG,groom,ear,poor,unrelated,A1A3CN8H5HXTSN,impossible,A1VNV1899K7L05,guaranteed,A1I4ATPNZBOA16
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3Y3N5A7N4F8HHFDQBA8C7HA4XDAYMG,groom,ear,old,guaranteed,A1A3CN8H5HXTSN,guaranteed,A1VNV1899K7L05,guaranteed,A1I4ATPNZBOA16
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3Y3N5A7N4F8HHFDQBA8C7HA4XDAYMG,groom,ear,young,guaranteed,A1A3CN8H5HXTSN,guaranteed,A1VNV1899K7L05,guaranteed,A1I4ATPNZBOA16
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,388FBO7JZQSNZXYQNBNCKWZ423KNY5,man,beer,poor,unrelated,A25UZQENK9A4PL,unrelated,A1A3CN8H5HXTSN,unrelated,A26GE78G0GIQJC
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3KG2UQJ0MINEQV74W16I7AW23U3QN5,blanket,flower,green,unrelated,A17FGZ1I5P9RZA,unrelated,A30NX5HEQGGFPP,unrelated,A23OWTM4N480J
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3KG2UQJ0MINEQV74W16I7AW23U3QN5,blanket,flower,warm,impossible,A17FGZ1I5P9RZA,guaranteed,A30NX5HEQGGFPP,unlikely,A23OWTM4N480J
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3KG2UQJ0MINEQV74W16I7AW23U3QN5,blanket,flower,thick,unrelated,A17FGZ1I5P9RZA,unrelated,A30NX5HEQGGFPP,unrelated,A23OWTM4N480J
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3KG2UQJ0MINEQV74W16I7AW23U3QN5,blanket,flower,old,guaranteed,A17FGZ1I5P9RZA,guaranteed,A30NX5HEQGGFPP,guaranteed,A23OWTM4N480J
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3JTPR5MTZRBOP333FWQZH7K7D3C5K3,counter,sink,black,unlikely,A1A3CN8H5HXTSN,unrelated,A30NX5HEQGGFPP,unrelated,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3JTPR5MTZRBOP333FWQZH7K7D3C5K3,counter,sink,wooden,impossible,A1A3CN8H5HXTSN,impossible,A30NX5HEQGGFPP,impossible,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3JTPR5MTZRBOP333FWQZH7K7D3C5K3,counter,sink,liquid,wjj-nonsense,A1A3CN8H5HXTSN,impossible,A30NX5HEQGGFPP,pjj-nonsense,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3JTPR5MTZRBOP333FWQZH7K7D3C5K3,counter,sink,long,unrelated,A1A3CN8H5HXTSN,unlikely,A30NX5HEQGGFPP,unlikely,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3JTPR5MTZRBOP333FWQZH7K7D3C5K3,counter,sink,clean,probably,A1A3CN8H5HXTSN,unrelated,A30NX5HEQGGFPP,probably,A2VFH95BVFIU5K
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3ZUE82NE090WWZURCJ65DE2T7XW8F6,steer,leg,clear,pjj-nonsense,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,guaranteed,A26GE78G0GIQJC
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3ZUE82NE090WWZURCJ65DE2T7XW8F6,steer,leg,young,guaranteed,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,guaranteed,A26GE78G0GIQJC
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3ZUE82NE090WWZURCJ65DE2T7XW8F6,steer,leg,brown,probably,A1VNV1899K7L05,guaranteed,A25UZQENK9A4PL,probably,A26GE78G0GIQJC
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3OCZWXS7ZN6Z99LL0W20W7XM23H5L6,urinal,handle,portable,guaranteed,A30NX5HEQGGFPP,guaranteed,ABI1EI8UQK6LK,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3OCZWXS7ZN6Z99LL0W20W7XM23H5L6,urinal,handle,public,guaranteed,A30NX5HEQGGFPP,guaranteed,ABI1EI8UQK6LK,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3OCZWXS7ZN6Z99LL0W20W7XM23H5L6,urinal,handle,porcelain,impossible,A30NX5HEQGGFPP,unrelated,ABI1EI8UQK6LK,unlikely,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3OCZWXS7ZN6Z99LL0W20W7XM23H5L6,urinal,handle,white,unlikely,A30NX5HEQGGFPP,unrelated,ABI1EI8UQK6LK,unrelated,A1A3CN8H5HXTSN
Common sense visual reasoning 4,https://worker.mturk.com/mturk/preview?groupId=3JG2O8WUZH7ZQQX8P6WURH5IOCX9WX,3OCZWXS7ZN6Z99LL0W20W7XM23H5L6,urinal,handle,broken,unrelated,A30NX5HEQGGFPP,unrelated,ABI1EI8UQK6LK,unrelated,A1A3CN8H5HXTSN
