whole,part,jj,result1,result2,result3
player,hat,poor,unrelated,pjj-nonsense,impossible
player,hat,professional,unrelated,pjj-nonsense,guaranteed
player,hat,offensive,unrelated,pjj-nonsense,impossible
player,hat,red,unrelated,unrelated,unrelated
kid,shirt,poor,unrelated,unrelated,pjj-nonsense
kid,shirt,nice,unrelated,unrelated,unrelated
kid,shirt,white,unrelated,unrelated,unrelated
kid,shirt,smart,unrelated,unrelated,impossible
building,section,tall,probably,probably,probably
building,section,original,guaranteed,probably,guaranteed
building,section,public,guaranteed,probably,probably
building,section,brown,guaranteed,probably,probably
building,section,fine,probably,pjj-nonsense,guaranteed
building,section,old,guaranteed,probably,guaranteed
eye,pupil,dark,guaranteed,unrelated,guaranteed
eye,pupil,human,guaranteed,wjj-nonsense,guaranteed
eye,pupil,open,guaranteed,pjj-nonsense,guaranteed
eye,pupil,brown,unlikely,unrelated,impossible
truck,antenna,open,impossible,unrelated,unlikely
truck,antenna,black,unrelated,unrelated,unlikely
truck,antenna,old,probably,probably,probably
train,engineer,electric,pjj-nonsense,impossible,impossible
train,engineer,regular,probably,pjj-nonsense,unrelated
plate,border,thin,probably,probably,unrelated
plate,border,flat,pjj-nonsense,probably,guaranteed
plate,border,round,guaranteed,guaranteed,guaranteed
plate,border,white,probably,unlikely,unrelated
plate,border,empty,guaranteed,guaranteed,unrelated
giraffe,tongue,young,guaranteed,guaranteed,guaranteed
giraffe,tongue,tall,unrelated,guaranteed,impossible
giraffe,tongue,brown,unlikely,unrelated,unlikely
mound,dirt,concrete,impossible,pjj-nonsense,impossible
mound,dirt,grassy,impossible,guaranteed,impossible
mound,dirt,high,pjj-nonsense,guaranteed,guaranteed
boy,hand,young,guaranteed,guaranteed,guaranteed
boy,hand,nice,unrelated,impossible,unrelated
boy,hand,dear,unrelated,impossible,pjj-nonsense
man,glass,poor,impossible,unrelated,impossible
tree,base,growing,guaranteed,probably,guaranteed
tree,base,tall,impossible,probably,probably
tree,base,green,unlikely,unlikely,unrelated
tree,base,hollow,probably,probably,probably
tree,base,old,guaranteed,probably,guaranteed
horse,rein,old,unrelated,unrelated,unrelated
landing gear,wheel,round,unrelated,guaranteed,unrelated
luggage,wheel,heavy,unlikely,unrelated,impossible
luggage,wheel,light,unrelated,unrelated,unrelated
luggage,wheel,brown,unlikely,unlikely,unrelated
child,toothbrush,young,unrelated,unrelated,impossible
man,foot,poor,unrelated,pjj-nonsense,impossible
pan,hole,prepared,guaranteed,impossible,pjj-nonsense
pan,hole,shallow,unrelated,impossible,pjj-nonsense
pan,hole,hot,impossible,impossible,probably
pan,hole,white,impossible,impossible,guaranteed
pan,hole,empty,guaranteed,guaranteed,guaranteed
net,top,mesh,unlikely,word-nonsense,probably
net,top,social,guaranteed,pjj-nonsense,wjj-nonsense
net,top,white,unrelated,probably,probably
net,top,wide,guaranteed,guaranteed,probably
net,top,fine,guaranteed,wjj-nonsense,guaranteed
broom,handle,black,probably,probably,unrelated
broom,handle,golden,probably,probably,unrelated
broom,handle,old,guaranteed,guaranteed,guaranteed
mountain,rock,lofty,probably,guaranteed,pjj-nonsense
mountain,rock,sacred,probably,guaranteed,probably
mountain,rock,tall,unrelated,unrelated,unlikely
mountain,rock,high,unrelated,guaranteed,probably
mountain,rock,holy,probably,guaranteed,probably
mountain,rock,steep,unrelated,probably,unlikely
bike,tire,used,probably,guaranteed,probably
bike,tire,red,unlikely,unlikely,unrelated
bike,tire,old,probably,probably,unrelated
horse,man,dead,unrelated,unrelated,unrelated
horse,man,attached,guaranteed,unrelated,unlikely
