whole,part,jj,result1,result2,result3
shirt,text,white,impossible,unlikely,unlikely
shirt,text,clean,probably,guaranteed,guaranteed
lady,scarf,beautiful,unrelated,unrelated,unrelated
cupboard,door,old,probably,probably,probably
cupboard,door,locked,guaranteed,probably,guaranteed
cupboard,door,white,unrelated,probably,probably
cupboard,door,empty,pjj-nonsense,impossible,pjj-nonsense
cupboard,door,open,guaranteed,guaranteed,guaranteed
cupboard,door,closed,guaranteed,guaranteed,guaranteed
cupboard,door,dark,probably,probably,probably
planter,flower,rich,pjj-nonsense,pjj-nonsense,probably
planter,flower,white,unrelated,unrelated,unlikely
planter,flower,old,unlikely,unlikely,unlikely
vase,bird,black,unrelated,unlikely,unrelated
vase,bird,golden,unrelated,unrelated,unrelated
vase,bird,crystal,unrelated,unrelated,probably
vase,bird,broken,probably,unrelated,probably
car,rear,red,probably,guaranteed,probably
car,rear,open,unlikely,unrelated,unrelated
road,bus,old,unrelated,unrelated,unrelated
road,bus,long,unrelated,unrelated,unrelated
road,bus,empty,unrelated,unrelated,unrelated
road,bus,open,unlikely,unrelated,unrelated
road,bus,clean,unrelated,unrelated,unrelated
road,bus,narrow,unrelated,unrelated,unlikely
pancake,sugar,brown,unrelated,unlikely,unrelated
pancake,sugar,thin,pjj-nonsense,pjj-nonsense,unrelated
pancake,sugar,dear,unrelated,pjj-nonsense,pjj-nonsense
pancake,sugar,thick,pjj-nonsense,pjj-nonsense,unrelated
tennis court,fence,open,impossible,unlikely,guaranteed
tennis court,fence,white,unrelated,unrelated,unrelated
building,post,brown,unrelated,probably,probably
building,post,old,probably,guaranteed,probably
building,post,public,guaranteed,guaranteed,guaranteed
building,post,original,guaranteed,pjj-nonsense,guaranteed
building,post,tall,guaranteed,guaranteed,probably
building,post,fine,unrelated,guaranteed,probably
doll,face,baby,guaranteed,guaranteed,guaranteed
doll,face,old,guaranteed,guaranteed,guaranteed
doll,face,broken,probably,unrelated,unlikely
doll,face,white,guaranteed,guaranteed,guaranteed
doll,face,naked,pjj-nonsense,guaranteed,unrelated
doll,face,wooden,guaranteed,probably,guaranteed
doll,face,beautiful,probably,probably,guaranteed
chair,upholstery,comfortable,probably,guaranteed,probably
chair,upholstery,purple,unrelated,guaranteed,probably
window,word,open,unrelated,impossible,impossible
window,word,high,guaranteed,guaranteed,probably
window,word,broken,probably,impossible,probably
window,word,clean,guaranteed,probably,probably
umbrella,top,open,guaranteed,impossible,guaranteed
umbrella,top,white,unrelated,unrelated,guaranteed
chef,hand,french,probably,guaranteed,guaranteed
chef,hand,excellent,pjj-nonsense,probably,unrelated
chef,hand,famous,pjj-nonsense,probably,guaranteed
chef,hand,white,guaranteed,guaranteed,guaranteed
chef,hand,professional,pjj-nonsense,probably,guaranteed
chef,hand,personal,pjj-nonsense,guaranteed,unrelated
chef,hand,working,probably,guaranteed,guaranteed
ceiling,beam,flat,impossible,unrelated,probably
ceiling,beam,low,guaranteed,guaranteed,guaranteed
ceiling,beam,white,unrelated,probably,unrelated
ceiling,beam,vaulted,unrelated,pjj-nonsense,pjj-nonsense
ceiling,beam,high,guaranteed,probably,guaranteed
coat,lapel,white,probably,probably,probably
face,smile,yellow,unrelated,unlikely,unrelated
face,smile,handsome,probably,probably,probably
face,smile,light,unrelated,probably,unrelated
face,smile,beautiful,guaranteed,probably,probably
face,smile,hers,guaranteed,guaranteed,guaranteed
floor,drain,concrete,probably,unlikely,impossible
floor,drain,pelvic,unrelated,unrelated,pjj-nonsense
floor,drain,wooden,unlikely,unlikely,impossible
house,roof,old,probably,guaranteed,probably
house,roof,tan,unrelated,unrelated,probably
house,roof,empty,pjj-nonsense,guaranteed,unrelated
house,roof,brown,unrelated,unrelated,probably
house,roof,private,pjj-nonsense,guaranteed,guaranteed
cat,stripe,white,unlikely,probably,impossible
cat,stripe,old,guaranteed,guaranteed,guaranteed
shirt,flower,white,unlikely,unrelated,unlikely
puppy,nose,sick,probably,impossible,probably
puppy,nose,stuffed,guaranteed,probably,guaranteed
puppy,nose,white,unrelated,impossible,unrelated
puppy,nose,lost,guaranteed,pjj-nonsense,guaranteed
puppy,nose,young,guaranteed,guaranteed,guaranteed
top,number,open,impossible,pjj-nonsense,unlikely
top,number,white,unlikely,unrelated,unlikely
top,number,rounded,probably,wjj-nonsense,unlikely
headband,logo,white,unrelated,unlikely,impossible
aircraft,cockpit,german,probably,guaranteed,guaranteed
track,gravel,blue,unrelated,unlikely,unrelated
track,gravel,old,unlikely,unrelated,unrelated
hot dog,mustard,black,impossible,impossible,unrelated
hot dog,mustard,old,unrelated,probably,unrelated
trailer,writing,empty,unrelated,impossible,pjj-nonsense
trailer,writing,white,impossible,unlikely,unlikely
trailer,writing,old,probably,unrelated,probably
trailer,writing,long,unrelated,unrelated,unrelated
building,panel,old,guaranteed,probably,probably
building,panel,public,guaranteed,guaranteed,impossible
building,panel,original,guaranteed,guaranteed,probably
building,panel,tall,unrelated,probably,unrelated
building,panel,brown,unrelated,probably,unrelated
fence,shadow,low,probably,guaranteed,guaranteed
fence,shadow,high,probably,impossible,guaranteed
fence,shadow,white,impossible,impossible,impossible
bike,shadow,old,impossible,impossible,probably
bike,shadow,stationary,probably,guaranteed,guaranteed
bike,shadow,red,impossible,impossible,unrelated
bike,shadow,recumbent,impossible,pw-nonsense,pjj-nonsense
bike,shadow,silver,impossible,impossible,unrelated
bird,body,old,guaranteed,guaranteed,guaranteed
bird,body,white,probably,unrelated,unrelated
