title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3,result4,worker4,result5,worker5
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,3UEBBGULPENUUW14FM7A96KI35LFUN,man,chain,poor,unrelated,A1A3CN8H5HXTSN,pjj-nonsense,AVLZVLVL2X60,probably,A30NX5HEQGGFPP,probably,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,3D06DR5224IGLXFNV4UW4VSXT35AMD,background,cloud,white,unrelated,AVLZVLVL2X60,unrelated,A1VNV1899K7L05,unrelated,A1A3CN8H5HXTSN,guaranteed,A2VFH95BVFIU5K,unrelated,A30NX5HEQGGFPP
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,3D06DR5224IGLXFNV4UW4VSXT35AMD,background,cloud,social,pjj-nonsense,AVLZVLVL2X60,impossible,A1VNV1899K7L05,impossible,A1A3CN8H5HXTSN,impossible,A2VFH95BVFIU5K,pjj-nonsense,A30NX5HEQGGFPP
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,37J05LC5AWIOIWCECH86E48MAC7DJE,field,section,open,pjj-nonsense,AVLZVLVL2X60,pjj-nonsense,A17FGZ1I5P9RZA,probably,A30NX5HEQGGFPP,guaranteed,A1A3CN8H5HXTSN,probably,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,37J05LC5AWIOIWCECH86E48MAC7DJE,field,section,grassy,guaranteed,AVLZVLVL2X60,probably,A17FGZ1I5P9RZA,probably,A30NX5HEQGGFPP,guaranteed,A1A3CN8H5HXTSN,probably,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,37J05LC5AWIOIWCECH86E48MAC7DJE,field,section,external,pjj-nonsense,AVLZVLVL2X60,guaranteed,A17FGZ1I5P9RZA,guaranteed,A30NX5HEQGGFPP,guaranteed,A1A3CN8H5HXTSN,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,37J05LC5AWIOIWCECH86E48MAC7DJE,field,section,empty,pjj-nonsense,AVLZVLVL2X60,guaranteed,A17FGZ1I5P9RZA,unrelated,A30NX5HEQGGFPP,guaranteed,A1A3CN8H5HXTSN,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,37J05LC5AWIOIWCECH86E48MAC7DJE,field,section,overgrown,pjj-nonsense,AVLZVLVL2X60,probably,A17FGZ1I5P9RZA,unrelated,A30NX5HEQGGFPP,guaranteed,A1A3CN8H5HXTSN,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,3M47JKRKCW00D61GBQ31J8PGDFQ68V,wall,spot,high,wjj-nonsense,AVLZVLVL2X60,unrelated,A1A3CN8H5HXTSN,unrelated,A30NX5HEQGGFPP,unrelated,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,3M47JKRKCW00D61GBQ31J8PGDFQ68V,wall,spot,posterior,guaranteed,AVLZVLVL2X60,guaranteed,A1A3CN8H5HXTSN,unrelated,A30NX5HEQGGFPP,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 1,https://worker.mturk.com/mturk/preview?groupId=3MNYFQMXONALJ14V4BVPJ3P5WF90YF,3M47JKRKCW00D61GBQ31J8PGDFQ68V,wall,spot,white,unrelated,AVLZVLVL2X60,unrelated,A1A3CN8H5HXTSN,impossible,A30NX5HEQGGFPP,probably,A2VFH95BVFIU5K
