title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3VP28W7DUMJBGVVEL96IQYZX61SZFH,ground,pebble,white,unrelated,AVLZVLVL2X60,guaranteed,A25UZQENK9A4PL,impossible,A2DNSD743W4OC2
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3VP28W7DUMJBGVVEL96IQYZX61SZFH,ground,pebble,dry,unrelated,AVLZVLVL2X60,guaranteed,A25UZQENK9A4PL,unlikely,A2DNSD743W4OC2
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3BJKPTD2QBBCX9RO6CHULZCZOTHRTO,court,man,tan,impossible,A2DNSD743W4OC2,unrelated,A30NX5HEQGGFPP,unrelated,A25UZQENK9A4PL
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3BJKPTD2QBBCX9RO6CHULZCZOTHRTO,court,man,white,unlikely,A2DNSD743W4OC2,unrelated,A30NX5HEQGGFPP,unrelated,A25UZQENK9A4PL
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3BJKPTD2QBBCX9RO6CHULZCZOTHRTO,court,man,sandy,unlikely,A2DNSD743W4OC2,unrelated,A30NX5HEQGGFPP,probably,A25UZQENK9A4PL
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3BJKPTD2QBBCX9RO6CHULZCZOTHRTO,court,man,open,pjj-nonsense,A2DNSD743W4OC2,unrelated,A30NX5HEQGGFPP,pjj-nonsense,A25UZQENK9A4PL
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3URJ6VVYUOMPJBKIZJZIJWV2X7H4OX,duck,eye,fat,impossible,A1A3CN8H5HXTSN,probably,A25UZQENK9A4PL,impossible,A30NX5HEQGGFPP
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3URJ6VVYUOMPJBKIZJZIJWV2X7H4OX,duck,eye,white,unlikely,A1A3CN8H5HXTSN,unrelated,A25UZQENK9A4PL,probably,A30NX5HEQGGFPP
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3RWO3EJELG8QCCZ0R1TVAYTPVS2P1L,pole,tip,metallic,guaranteed,A30NX5HEQGGFPP,guaranteed,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 5,https://worker.mturk.com/mturk/preview?groupId=3EM4DVSA8U9K3Y77FQ2ZT9TSNFB30B,3RWO3EJELG8QCCZ0R1TVAYTPVS2P1L,pole,tip,long,impossible,A30NX5HEQGGFPP,impossible,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
