whole,part,jj,result1,result2,result3
apple,edge,fresh,guaranteed,guaranteed,guaranteed
apple,edge,liquid,impossible,guaranteed,guaranteed
apple,edge,green,probably,guaranteed,guaranteed
apple,edge,shiny,probably,guaranteed,guaranteed
apple,edge,golden,probably,guaranteed,guaranteed
apple,edge,rotten,probably,guaranteed,probably
cake,star,sweet,guaranteed,probably,probably
cake,star,national,unrelated,unrelated,probably
skateboard,bottom,green,probably,probably,unrelated
skateboard,bottom,old,guaranteed,guaranteed,guaranteed
skateboard,bottom,wooden,guaranteed,guaranteed,guaranteed
stand,drawer,wooden,probably,probably,probably
stand,drawer,old,probably,probably,guaranteed
stand,drawer,strong,unrelated,probably,guaranteed
skater,hair,professional,probably,unrelated,impossible
skater,hair,young,guaranteed,guaranteed,guaranteed
skater,hair,brown,unrelated,unrelated,unrelated
skater,hair,excellent,pjj-nonsense,unrelated,unrelated
groom,ear,handsome,unrelated,unrelated,guaranteed
groom,ear,happy,impossible,impossible,pjj-nonsense
groom,ear,english,guaranteed,impossible,guaranteed
groom,ear,poor,unrelated,impossible,guaranteed
groom,ear,old,guaranteed,guaranteed,guaranteed
groom,ear,young,guaranteed,guaranteed,guaranteed
man,beer,poor,unrelated,unrelated,unrelated
blanket,flower,green,unrelated,unrelated,unrelated
blanket,flower,warm,impossible,guaranteed,unlikely
blanket,flower,thick,unrelated,unrelated,unrelated
blanket,flower,old,guaranteed,guaranteed,guaranteed
counter,sink,black,unlikely,unrelated,unrelated
counter,sink,wooden,impossible,impossible,impossible
counter,sink,liquid,wjj-nonsense,impossible,pjj-nonsense
counter,sink,long,unrelated,unlikely,unlikely
counter,sink,clean,probably,unrelated,probably
steer,leg,clear,pjj-nonsense,guaranteed,guaranteed
steer,leg,young,guaranteed,guaranteed,guaranteed
steer,leg,brown,probably,guaranteed,probably
urinal,handle,portable,guaranteed,guaranteed,guaranteed
urinal,handle,public,guaranteed,guaranteed,guaranteed
urinal,handle,porcelain,impossible,unrelated,unlikely
urinal,handle,white,unlikely,unrelated,unrelated
urinal,handle,broken,unrelated,unrelated,unrelated
urinal,handle,plastic,probably,unrelated,unlikely
sailboat,reflection,white,probably,probably,guaranteed
sailboat,reflection,beautiful,probably,guaranteed,probably
sailboat,reflection,old,impossible,unlikely,impossible
sailboat,reflection,solitary,guaranteed,pjj-nonsense,guaranteed
sailboat,reflection,tiny,guaranteed,guaranteed,probably
player,leg,poor,guaranteed,unrelated,guaranteed
player,leg,red,guaranteed,guaranteed,probably
car,light,private,impossible,guaranteed,guaranteed
car,light,used,impossible,guaranteed,guaranteed
car,light,silver,unlikely,unlikely,unrelated
car,light,white,unlikely,unrelated,unrelated
car,light,open,impossible,unlikely,unrelated
car,light,old,probably,guaranteed,guaranteed
motorcycle,front,indian,guaranteed,guaranteed,probably
motorcycle,front,old,guaranteed,guaranteed,probably
motorcycle,front,red,guaranteed,guaranteed,unrelated
lady,purse,poor,unrelated,pjj-nonsense,impossible
lady,purse,dear,impossible,pjj-nonsense,impossible
lady,purse,beautiful,unrelated,unrelated,unrelated
coffee cup,lid,plastic,probably,guaranteed,probably
coffee cup,lid,empty,impossible,unrelated,impossible
coffee cup,lid,black,probably,unrelated,unrelated
