outlet,plug,electrical,guaranteed,guaranteed
outlet,plug,natural,impossible,impossible
car,taillight,red,guaranteed,unrelated
sink,hole,clean,guaranteed,guaranteed
sink,hole,dry,guaranteed,guaranteed
sink,hole,old,guaranteed,guaranteed
boat,letter,long,unrelated,unrelated
boat,letter,wooden,unlikely,unlikely
boat,letter,blue,impossible,unlikely
leg,knee,injured,probably,probably
leg,knee,bent,guaranteed,guaranteed
leg,knee,black,guaranteed,probably
batter,hand,slight,probably,word-nonsense
batter,hand,stiff,probably,impossible
batter,hand,thin,probably,probably
sofa,cushion,long,probably,probably
sofa,cushion,blue,guaranteed,unlikely
sofa,cushion,white,guaranteed,impossible
train,horn,red,unrelated,impossible
cat,collar,brown,unrelated,unrelated
cat,collar,domestic,impossible,unrelated
cat,collar,white,unrelated,unrelated
automobile,light,american,probably,probably
automobile,light,shiny,unrelated,probably
automobile,light,black,impossible,impossible
boat,top,white,probably,probably
boat,top,open,guaranteed,guaranteed
boat,top,old,probably,probably
boat,top,tiny,guaranteed,guaranteed
hairdryer,cord,electric,guaranteed,guaranteed
hairdryer,cord,white,probably,probably
hairdryer,cord,black,probably,probably
woman,chain,young,impossible,unrelated
woman,chain,white,unrelated,unrelated
woman,chain,poor,impossible,impossible
woman,chain,old,unlikely,unrelated
woman,chain,beautiful,unrelated,unrelated
woman,shoulder,old,guaranteed,guaranteed
woman,shoulder,beautiful,probably,probably
sidewalk,light,white,unrelated,unrelated
sidewalk,light,public,guaranteed,guaranteed
sidewalk,light,wide,unrelated,unrelated
road,dirt,long,guaranteed,impossible
road,dirt,empty,impossible,impossible
road,dirt,narrow,impossible,impossible
road,dirt,high,impossible,guaranteed
road,dirt,clean,impossible,impossible
road,dirt,open,impossible,impossible
fire,hole,red,pw-nonsense,pw-nonsense
mirror,light,grey,impossible,unrelated
scooter,seat,old,probably,probably
bed,pillow,warm,guaranteed,probably
bed,pillow,wooden,impossible,impossible
bed,pillow,sick,impossible,impossible
chair,shadow,high,impossible,probably
chair,shadow,comfortable,impossible,impossible
chair,shadow,black,guaranteed,unrelated
coat,trim,black,probably,unlikely
coat,trim,gray,probably,unlikely
coat,trim,red,probably,unlikely
face,lip,handsome,probably,guaranteed
face,lip,pale,probably,impossible
face,lip,light,probably,impossible
man,tail,old,impossible,probably
stand,part,public,impossible,guaranteed
stand,part,metallic,probably,probably
stand,part,gray,probably,probably
jacket,collar,brown,probably,probably
jacket,collar,short,unrelated,unrelated
jacket,collar,blue,probably,probably
