title,url,HITId,whole,part,jj
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,bed,bedding,warm;comfortable;dry
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,suitcase,wheel,open;old;dark
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,suitcase,wheel,heavy;green
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,kitten,eye,tiny;white;young
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,kitten,eye,newborn
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,banana,face,green;wild
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,sign,writing,sure;positive;black
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,sign,writing,negative
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,wall,wallpaper,white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,car,glass,open;old;silver
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,car,glass,private;white;used
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,seat,pillow,vacant;high;empty
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,seat,pillow,white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,mirror,frame,concave;grey;spherical
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,mirror,frame,broken;magic;long
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,building,stripe,fine;old;brown
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,building,stripe,original
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,sign,bus,positive;black;negative
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,deer,nose,brown;wild;young
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,head,spot,fuzzy;humeral;dark
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,coat,lapel,white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,pavement,stripe,wet;old;smooth
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,pavement,stripe,grey;rough;hard
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,boat,window,open;old;white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,boat,window,tiny;wooden
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,toilet,handle,clear;closed;white
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,train,opening,regular;slow;red
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,train,opening,fast;long
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,boat,rope,tiny;white;old
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=1,2,sheep,mouth,fat;fetal;stuffed
