url,HITId,whole,part,jj
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,301KG0KX9CLE69RYT8KHTV1HNCJH2N,truck,gauge,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3N2YPY1GI6YBJQYYRHWMAX1FSUKEVC,truck,extinguisher,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,378G7J1SJLYOYFY3HR1IWZKTZ3MEWM,truck,wagon,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,35A1YQPVFEG611L5H940RE587ZP5I5,truck,cab,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,30ZKOOGW2W6S711O4YAB7Q48IBFA1O,truck,headlight,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3DQYSJDTYLB3NF3TRWX4YIY085SEXF,truck,flap,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3KQC8JMJGCS3RRNHX8YMC569TQJH3Y,truck,cargo,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3ZG552ORAM4JOAMIYX1L8WSQVRU2VY,truck,roof,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3JMNNNO3B14W3ZMNO76HUYB420W2W8,truck,trailer,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,35O6H0UNLSG2WC5BZRP03FK8KEE5JH,truck,smokestack,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3JTPR5MTZSCX7WBTHCPC4UKLZ3E5KG,officer,pouch,young
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3P458N04Q1HBSZRDYC23WHPBB222X1,tooth,root,permanent
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3KWGG5KP6J2DW5KBHYP0XDIZGPVCM0,tooth,crown,permanent
