HITid,url
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3YLPJ8OXX8DLVD602QLRPWM9VGA4XB
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,31KPKEKW4ADXJMLYET67OW54V160BI
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,356TQKY9XFXSZZNBWG76C9PQV9R78Q
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,30ZKOOGW2W6S711O4YAB7Q48IBRA10
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3G3AJKPCXLSAVIWA7M7T8ATIXM44YH
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,389A2A304OIGTRD4ST22ZGBMDM60CP
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,335VBRURDJ0DMJLVOGRQIFCI12DE98
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3G57RS03HH52QG73S6J84YYRI34253
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3YOAVL4CA0HA086F389CMH2K3G84Z8
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3MJ9GGZYO36ZWMJKN2APC9EDAH5A2H
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3VQTAXTYN3LDZ8XEC0KRD3TBBQABUW
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3G57RS03HH52QG73S6J84YYRI34526
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3YD0MU1NC216INGQTERK80VLLXR7AU
