url,HITId,whole,part,jj
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,33TGB4G0LPH5CYLQHRMZX4Y1BFWXT5,butt,ring,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3DZKABX2ZI5WMSEKVQQRK91C7IOVCH,porch,cat,wooden
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3L21G7IH47WT3JZRK4ORACMFL201Y7,porch,fence,wooden
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3Y40HMYLL1IKCB0FHWC920K3UT3XUW,porch,screen,wooden
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3MDKGGG61QNSTJ1UG4D9XRLHEBY6TL,driveway,car,long
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3HO4MYYR12O7TWGJG93J2N7JXP56UC,driveway,pavement,long
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,32K26U12DNO6RKKYVML24FJUSI0VDH,lighthouse,ball,famous
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3WKGUBL7SZMQVJPBO7I3E2RMO764LV,cemetery,bench,ancient
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,389A2A304OIGTRD4ST22ZGBMDMC0CV,leash,hook,short
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,33N1S8XHHMLT899WGQQAOJVHRW41ZY,apartment,balcony,empty
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,39O6Z4JLX2XKPQPFMMMEYMMM80CXVL,apartment,wall,empty
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3N2YPY1GI6YBJQYYRHWMAX1FSU1VEA,apartment,ceiling,empty
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,35YHTYFL1G33P4YUMSGSSFMF4VGVFS,tub,mat,old
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3UQVX1UPFSH3V9L2V0DWN3201VZ20O,tub,ledge,old
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3TUOHPJXYHXX4FPKCWRAKO50F9EXWV,greenhouse,plant,warm
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3CESM1J3EI3KL05OB9IKKBSGI5G6WB,tail,tip,forked
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,31HLTCK4BLV934UPXCMAA0MR5AGVGR,cheese,steak,green
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3FULMHZ7OUXA117WOJJIEF6BOCW4MX,cheese,ham,green
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3TCFMTM8HEO32Y6KRJHW18LA6N521R,farmer,cow,female
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3FW4EL5A3LOARJOGANHA6RVFYTJ228,airport,runway,busy
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3ICOHX7ENCBVQPXIOK8XP4BPYYP0EO,candle,flame,yellow
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3087LXLJ6MGNW3XEJVS37MWPAZ40F6,mask,cage,white
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3ZC62PVYDHACTFUAM1NWM7J7OBKXXO,monastery,library,benedictine
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3IWA71V4TIGZA0AELEE6MU6NR7M6X4,artifact,lip,human
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3INZSNUD80Q8UD7VSLG6CXUX1QI9DG,crab,claw,giant
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,30EV7DWJTVVOA50OQA0858DWTDG6YA,pilot,clothes,american
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3HUR21WDDUP1TKKKRX9Y5LQGQHEXYU,garden,plant,botanical
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3ZLW647WALVZC1KZENVFP10747J23J,vulture,bird,black
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3IZVJEBJ6AKOFVATMW2RJFMYZ7K6Z1,headlight,train,broken
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,335VBRURDJ0DMJLVOGRQIFCI12J9E9,cowboy,gun,mexican
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3WRBLBQ2GR8TA3T9UFYLP7W1BE40G5,pavement,road,rough
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3ZFRE2BDQ9E1YAUPNJBHJSZIWBIXZL,helicopter,blade,american
https://workersandbox.mturk.com/mturk/preview?groupId=3Z26YXPIIPOIFXBK7YSAKMJ9P6FRGN,3FVBZG9CLJE7AZOKELG3A782QEH0H4,loaf,flour,single
