url,HITId,whole,part,jj
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,32L724R85LKAUB3O1ODEPKAPYZ5IPJ,telephone,pole,public
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,30Y6N4AHYPWEYD3HM2GS3IUR7CLDR4,telephone,pole,mobile
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3P4C70TRMRH67ZIVJ8K4NROPECCLGW,telephone,cord,cellular
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3URJ6VVYUPNY14S81ZYV6JVGJC8O4T,telephone,pole,wireless
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3TD33TP5DL2TKZJG6V30D2HH4NLBAN,telephone,pole,long
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3TKSOBLOHLGY39O8C93W8D1NM56BBI,telephone,mouthpiece,long
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,388CL5C1RJNK7VD63E2M8R0QTCPLHV,telephone,pole,black
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3MJ28H2Y1E8GXNW8F4H5BB1UJ83O5Y,telephone,mouthpiece,black
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3E24UO25QZQCGRWMKNRA3HFUF3EO6E,telephone,tube,pink
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,30U1YOGZGAWQZS3U1RGXTSZNTE4DSS,rope,bell,long
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3WPCIUYH1A8RESG9QRLN3XV9VXIDTH,rope,bell,strong
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3APP19WN71EOOEFOW4E2Y86SOHNG6J,rope,bar,tight
https://workersandbox.mturk.com/mturk/preview?groupId=3U58B6YJ4VKI7KDAVTZ5JPX10QKN8M,3R0WOCG21M96E5VYQWBX8THBEBPDU8,rope,bell,thick
